trial,participant,setSize,pSwap,pTarget,pBestFoil,bestXi,bestFoilXi,visualFoil,visualMatch,resp,target,bestFoil,bestFoilIdx,dTarget,dBestFoil,dInferredFoil,foilMargin,score
8629,87,3,0.559863636363636,0.440136363636364,0.406824307767704,1,2,1,1,2.5615926535,1.3672926535,2.3970926535,1,1.1943,0.1645,0.1645,1.0298,1.95313600064887
1904,20,3,0.845272727272727,0.154727272727273,0.445409950946041,3,3,2,1,2.5366926535,1.0097926535,2.7806926535,1,1.5269,0.244,0.244,1.2829,1.94359328594788
484,5,6,0.748772727272727,0.251227272727273,0.501468428781204,6,6,5,1,1.5707926535,3.0618,1.8389926535,1,1.4910073465,0.2682,0.2682,1.2228073465,1.92708761392668
4901,50,3,0.490863636363636,0.509136363636364,0.47675987530824,1,3,2,1,8.53069999999789e-05,2.0609,2.9670926535,1,1.080685307,0.1744926535,0.1744926535,0.9061926535,1.92450082331047
1181,12,6,0.759181818181818,0.240818181818182,0.496489311905133,6,6,5,1,0.4372926535,1.8245,0.1899,3,1.3872073465,0.2473926535,0.2473926535,1.139814693,1.90289102964317
748,8,6,0.715090909090909,0.284909090909091,0.442427707112572,6,6,5,1,0.4919,1.9157926535,0.2605,5,1.4238926535,0.2314,0.2314,1.1924926535,1.87488198449393
9569,96,6,0.696954545454545,0.303045454545455,0.409617486338798,6,6,5,1,2.9317926535,1.4678926535,2.7067926535,3,1.4639,0.225,0.225,1.2389,1.84536401390959
3200,33,3,0.748954545454545,0.251045454545455,0.71715023545496,3,3,2,1,0.212985307,2.1212,3.0385926535,2,1.233285307,0.3158926535,0.3158926535,0.9173926535,1.7980911919626
2835,29,3,0.470727272727273,0.529272727272727,0.41276285179948,1,3,2,1,0.4603926535,1.6218926535,0.2839,2,1.1615,0.1764926535,0.1764926535,0.9850073465,1.79508886977996
7382,74,6,0.722909090909091,0.277090909090909,0.426472854281165,6,6,5,1,3.0662,1.8679,2.8741926535,3,1.1983,0.1920073465,0.1920073465,1.0062926535,1.77332013423119
834,9,3,0.573454545454545,0.426545454545455,0.500825158155313,3,3,2,1,2.8112926535,1.3922,3.0909926535,2,1.4190926535,0.2797,0.2797,1.1393926535,1.7307749647866
5608,57,3,0.527818181818182,0.472181818181818,0.471215978069317,1,3,2,1,0.3757,1.9305926535,0.6698,2,1.5548926535,0.2941,0.2941,1.2607926535,1.72654938495092
3907,40,3,0.468181818181818,0.531818181818182,0.344748962560992,1,3,2,1,1.1114926535,0.0039,1.2564,2,1.1075926535,0.1449073465,0.1449073465,0.962685307,1.70278220303492
9205,93,3,0.477909090909091,0.522090909090909,0.359599378029818,1,3,2,1,0.9158,2.4725926535,1.1472,2,1.5567926535,0.2314,0.2314,1.3253926535,1.69371134983614
1967,20,6,0.727863636363636,0.272136363636364,0.43867577509196,6,6,5,1,2.6144926535,1.3681926535,2.8319926535,4,1.2463,0.2175,0.2175,1.0288,1.68713883145648
1334,14,3,0.508409090909091,0.491590909090909,0.334031890660592,1,3,2,1,1.4813,2.8031926535,1.304,2,1.3218926535,0.1773,0.1773,1.1445926535,1.68205212531821
6521,66,3,0.624863636363636,0.375136363636364,0.522945324239972,2,2,1,1,2.7335926535,1.5643926535,2.9743926535,1,1.1692,0.2408,0.2408,0.9284,1.66954071191331
538,6,3,0.446954545454545,0.553045454545455,0.406288617328024,1,3,2,1,1.0142,2.3881,1.2436,2,1.3739,0.2294,0.2294,1.1445,1.66427101836766
1854,19,6,0.685727272727273,0.314272727272727,0.391882606988614,6,6,5,1,0.7609926535,2.2433926535,1.0035,4,1.4824,0.2425073465,0.2425073465,1.2398926535,1.66112875882798
5854,59,6,0.698818181818182,0.301181818181818,0.490812191195248,6,6,5,1,0.5694926535,1.9928,0.2832,4,1.4233073465,0.2862926535,0.2862926535,1.137014693,1.65944949163905
2688,27,6,0.933545454545455,0.0664545454545455,0.362366022237804,6,6,5,1,1.6235926535,3.1307,1.3944,5,1.5071073465,0.2291926535,0.2291926535,1.277914693,1.65861407260007
1572,16,6,0.712,0.288,0.382060669456067,6,6,5,1,2.1848926535,0.8842926535,2.3896926535,1,1.3006,0.2048,0.2048,1.0958,1.64310079116938
9466,95,6,0.726136363636364,0.273863636363636,0.378089353612167,6,6,5,1,2.6279,1.1846926535,2.8601926535,3,1.4432073465,0.2322926535,0.2322926535,1.210914693,1.62184154592548
6908,70,3,0.413409090909091,0.586590909090909,0.368442641629825,1,3,2,1,0.926,2.3270926535,0.7046,2,1.4010926535,0.2214,0.2214,1.1796926535,1.60150728653957
4464,45,6,0.713454545454545,0.286545454545455,0.409502953758403,6,6,5,1,0.2616926535,1.7566926535,0.5289,3,1.495,0.2672073465,0.2672073465,1.2277926535,1.58503491094623
2636,27,3,0.709909090909091,0.290090909090909,0.681827219405508,3,3,2,1,2.798,0.8859926535,3.1346926535,2,1.2294926535,0.3366926535,0.3366926535,0.8928,1.57420973989421
7567,76,6,0.774818181818182,0.225181818181818,0.363071926640558,6,6,5,1,1.3148,0.0503,1.1155,5,1.2645,0.1993,0.1993,1.0652,1.55132056260538
3315,34,3,0.428090909090909,0.571909090909091,0.404834663625998,1,3,2,1,2.3167926535,0.9157926535,2.5702926535,1,1.401,0.2535,0.2535,1.1475,1.53063517795991
3875,39,6,0.756818181818182,0.243181818181818,0.385894468326326,6,6,5,1,1.9069,0.3822,1.6308926535,1,1.5247,0.2760073465,0.2760073465,1.2486926535,1.47807585564754
5156,52,6,0.768181818181818,0.231818181818182,0.36668643146556,6,6,5,1,0.8005,2.3485926535,0.525,4,1.5480926535,0.2755,0.2755,1.2725926535,1.43361738501138
7665,77,6,0.888181818181818,0.111818181818182,0.386346917757834,6,6,5,1,1.5041926535,0.00549265350000017,1.7858926535,1,1.4987,0.2817,0.2817,1.217,1.41749833859296
6195,63,3,0.664318181818182,0.335681818181818,0.639369253489591,3,3,2,1,0.1977926535,2.2139,3.0230926535,2,1.1253926535,0.3162,0.3162,0.8091926535,1.41281513598459
811,9,3,0.660772727272727,0.339227272727273,0.405967823257093,3,3,2,1,1.3175926535,2.7916926535,1.6100926535,1,1.4741,0.2925,0.2925,1.1816,1.40055935754914
4257,43,6,0.834727272727273,0.165272727272727,0.359332667902467,6,6,5,1,1.4301926535,2.9148,1.6949926535,1,1.4846073465,0.2648,0.2648,1.2198073465,1.39236540071434
